"","H.G","Elec","P.A","Fashion"
"1",5041881.83855544,2642420.71124884,2855108.92662163,1906446.38465975
"2",8782956.69878907,3948978.46004814,4593031.24236013,3181835.71813486
"3",7973797.53285857,4416293.09763611,5533388.35212445,2693123.6731761
"4",7873452.82621576,4492866.59254126,5241119.7620924,2653091.92951751
"5",7793558.7422135,4457048.4537681,5065770.28791861,2802666.4067467
"6",7296593.12660253,4167973.4746374,4633555.08882255,2709364.62070451
"7",5823350.63429101,3415540.72987526,3722228.479914,2199273.53125394
"8",5695207.34337246,2696901.95924128,3006646.65967397,2099426.00601935
"9",9704959.69215275,4278472.43791439,4799135.66327718,3203772.49412767
"10",8676415.59562971,4618568.20219958,5825769.08223332,2872482.16213862
"11",7952893.12686341,4306223.75012126,5221685.81799671,2645836.22572768
"12",7291231.89473109,4119349.89279262,4731520.79972242,2486449.77644805
"13",6818087.34853076,4141918.71958396,4446653.93038088,2460477.17392522
"14",5639010.93693539,3314020.67296171,3549734.05934029,2106199.81856705
"15",5425927.43994622,2812133.70168892,3041971.22130804,1993544.89000347
"16",9171286.01760221,4047647.36147441,4529731.67724093,3135169.8343337
"17",8493001.68030245,4505297.88267705,5604127.75294036,2683187.70974498
"18",7500049.31010633,4098113.75254637,4873666.6961324,2536269.53617296
"19",7534544.91784402,4045048.30982317,4815909.11140266,2523772.02399862
"20",6865899.52386281,4043862.30467317,4174249.15748202,2439299.80462332
"21",6187980.52839957,3798352.3435518,3567117.02265177,2310870.44316635
"22",5619598.86544726,3031789.65668397,2974295.39001977,2083552.03983339
"23",9020094.45884435,4123805.89586667,4474551.0848926,3188206.54363884
"24",8431820.94136419,4589694.8748592,5573533.37143667,2829428.47141829
"25",7717621.00460905,4360991.91354918,5073045.43933964,2679967.33115211
"26",7273363.74316359,4894616.12651913,4776409.49354902,2562658.15175095
"27",6817389.44779826,4072575.36545453,4211440.23566435,2462881.59756047
"28",5586094.18843941,3391389.45565038,3552169.71724712,2187324.56859801
"29",5467493.94914944,2902166.26015525,3008563.88962053,2130583.02519477
"30",9109021.28400687,4082199.86858341,4432438.7111119,3373729.09441009
